AvgSpeed,Cool,Depart,Depth,DewPoint,Heat,ResultDir,ResultSpeed,SeaLevel,Station,StnPressure,Sunrise,Sunset,Tavg,Tmax,Tmin,WetBulb,Year,Month,Day
9.4,2.5,14.0,0.0,51.0,0.0,26.0,2.2,29.82,1.5,29.14,448.0,1849.0,67.5,83.5,51.0,56.5,2007,5,1
13.4,0.0,-3.0,0.0,42.0,13.5,3.0,13.15,30.085,1.5,29.41,447.0,1850.0,51.5,59.5,42.5,47.0,2007,5,2
12.55,0.0,2.0,0.0,40.0,8.0,6.5,12.3,30.12,1.5,29.425,446.0,1851.0,57.0,66.5,47.0,49.0,2007,5,3
10.6,0.0,4.0,0.0,41.5,7.0,7.5,10.25,30.045,1.5,29.335,444.0,1852.0,61.25,72.0,50.0,50.0,2007,5,4
11.75,0.0,5.0,0.0,38.5,5.0,7.0,11.45,30.095,1.5,29.43,443.0,1853.0,60.0,66.0,53.5,49.5,2007,5,5
14.75,0.0,4.0,0.0,30.0,5.5,10.5,14.1,30.285,1.5,29.595,442.0,1855.0,59.5,68.0,50.5,46.0,2007,5,6
10.2,1.0,10.0,0.0,40.0,0.0,17.5,8.55,30.12,1.5,29.41,441.0,1856.0,66.0,83.5,48.5,53.5,2007,5,7
5.6,4.0,12.0,0.0,57.5,0.0,9.5,2.6,30.025,1.5,29.325,439.0,1857.0,69.0,81.0,57.0,62.5,2007,5,8
6.05,4.5,13.0,0.0,59.5,0.0,8.0,3.9,29.935,1.5,29.245,438.0,1858.0,69.5,76.5,62.0,63.0,2007,5,9
4.0,5.5,14.0,0.0,52.0,0.0,13.0,1.35,29.915,1.5,29.23,437.0,1859.0,70.5,83.5,57.5,60.5,2007,5,10
12.85,0.0,4.0,0.0,43.0,4.0,19.5,11.5,30.035,1.5,29.36,436.0,1860.0,61.0,71.5,50.0,51.0,2007,5,11
12.95,0.0,-2.0,0.0,36.5,9.5,2.0,12.55,30.195,1.5,29.515,435.0,1901.0,55.5,64.5,46.5,46.0,2007,5,12
7.85,0.0,-2.0,0.0,32.5,8.5,12.5,6.5,30.24,1.5,29.52,434.0,1902.0,56.5,69.0,43.5,46.0,2007,5,13
15.95,7.5,15.0,0.0,46.0,0.0,21.0,15.5,29.975,1.5,29.27,433.0,1903.0,72.5,90.0,55.0,58.5,2007,5,14
11.55,4.0,11.0,0.0,56.0,0.0,26.0,8.1,29.835,1.5,29.16,432.0,1904.0,69.0,81.0,56.5,61.0,2007,5,15
12.0,0.0,-4.0,0.0,42.5,10.0,36.0,7.9,30.03,1.5,29.36,431.0,1905.0,55.0,65.0,44.5,47.5,2007,5,16
11.75,0.0,-6.0,0.0,32.0,12.0,2.0,11.1,30.27,1.5,29.585,430.0,1906.0,53.0,61.5,43.5,43.0,2007,5,17
6.5,0.0,-3.0,0.0,30.5,8.0,23.5,4.4,30.255,1.5,29.565,429.0,1907.0,57.0,70.5,42.5,46.5,2007,5,18
11.4,3.0,8.0,0.0,38.0,0.0,23.5,11.1,30.08,1.5,29.375,428.0,1908.0,68.0,80.0,56.0,53.0,2007,5,19
10.2,0.0,-5.0,0.0,40.5,8.5,3.5,9.5,30.11,1.5,29.41,427.0,1909.0,56.5,69.0,43.5,44.5,2007,5,20
8.0,0.0,1.0,0.0,50.0,2.5,10.5,6.3,30.055,1.5,29.36,426.0,1910.0,62.5,79.5,45.0,56.5,2007,5,21
10.4,7.5,10.0,0.0,45.0,0.0,17.0,10.05,30.055,1.5,29.375,425.0,1911.0,72.5,87.0,57.5,58.0,2007,5,22
11.5,11.5,14.0,0.0,48.5,0.0,18.5,11.15,30.1,1.5,29.43,425.0,1912.0,76.5,89.0,63.0,61.0,2007,5,23
16.25,11.5,14.0,0.0,53.5,0.0,20.5,14.35,30.105,1.5,29.44,424.0,1913.0,76.5,88.0,64.5,63.0,2007,5,24
8.5,0.0,1.0,0.0,45.0,2.5,5.0,4.7,30.235,1.5,29.54,423.0,1914.0,62.5,68.0,56.5,53.0,2007,5,25
7.5,0.0,-5.0,0.0,55.0,6.5,16.0,2.65,30.105,1.5,29.39,422.0,1915.0,58.5,67.5,49.5,56.5,2007,5,26
9.35,1.5,4.0,0.0,48.0,0.0,25.0,8.55,30.055,1.5,29.375,422.0,1916.0,66.5,75.0,58.0,56.5,2007,5,27
5.25,0.0,2.0,0.0,48.0,0.0,9.0,4.75,30.145,1.5,29.46,421.0,1916.0,65.0,77.5,52.0,56.5,2007,5,28
6.95,10.5,10.0,0.0,58.5,0.0,17.0,5.8,30.1,1.5,29.415,421.0,1917.0,75.5,88.0,62.5,65.5,2007,5,29
10.35,13.5,13.0,0.0,57.5,0.0,18.0,10.0,30.035,1.5,29.345,420.0,1918.0,78.5,88.0,68.0,65.5,2007,5,30
9.55,8.0,8.0,0.0,61.0,0.0,18.5,9.1,29.995,1.5,29.31,420.0,1919.0,73.0,79.0,66.5,65.5,2007,5,31
6.1,10.5,10.0,0.0,63.0,0.0,16.5,4.45,29.905,1.5,29.22,419.0,1920.0,75.5,85.5,64.5,66.5,2007,6,1
7.8,9.0,9.0,0.0,62.5,0.0,21.5,7.0,29.765,1.5,29.065,419.0,1920.0,74.0,81.0,66.5,67.0,2007,6,2
6.95,5.5,6.0,0.0,60.0,0.0,24.5,5.05,29.55,1.5,28.845,418.0,1921.0,70.5,77.5,63.0,63.5,2007,6,3
9.9,0.0,1.0,0.0,57.5,0.5,30.5,7.85,29.515,1.5,28.85,418.0,1922.0,64.5,71.5,57.0,60.0,2007,6,4
7.85,0.0,-9.0,0.0,47.5,8.5,4.0,5.7,29.785,1.5,29.13,417.0,1923.0,56.5,63.5,49.0,51.5,2007,6,5
11.0,0.0,-8.0,0.0,47.5,5.5,16.0,10.2,29.815,1.5,29.1,417.0,1923.0,59.5,72.0,46.0,55.0,2007,6,6
21.9,16.5,15.0,0.0,61.5,0.0,19.5,21.5,29.55,1.5,28.875,417.0,1924.0,81.5,91.5,71.0,68.5,2007,6,7
13.1,5.5,3.0,0.0,53.5,0.0,27.0,10.1,29.84,1.5,29.21,417.0,1925.0,70.5,81.0,60.0,61.5,2007,6,8
4.85,2.0,0.0,0.0,48.0,0.0,26.0,1.35,30.06,1.5,29.39,416.0,1925.0,67.0,79.0,54.5,57.5,2007,6,9
5.7,4.5,1.0,0.0,50.5,0.0,16.5,4.7,30.045,1.5,29.365,416.0,1926.0,69.5,81.0,58.0,59.5,2007,6,10
7.65,8.5,5.0,0.0,51.5,0.0,10.0,5.75,30.1,1.5,29.44,416.0,1926.0,73.5,85.5,61.5,61.0,2007,6,11
9.4,8.5,5.0,0.0,50.5,0.0,5.0,8.85,30.15,1.5,29.465,416.0,1927.0,73.5,82.5,64.0,60.5,2007,6,12
8.6,10.5,6.0,0.0,53.0,0.0,5.0,7.1,30.09,1.5,29.36,416.0,1927.0,75.5,86.5,64.0,62.0,2007,6,13
6.6,13.0,9.0,0.0,54.5,0.0,6.0,5.75,30.01,1.5,29.33,416.0,1928.0,78.0,89.0,66.0,63.5,2007,6,14
4.5,12.5,9.0,0.0,56.0,0.0,7.5,3.95,29.98,1.5,29.31,416.0,1928.0,77.5,90.0,65.0,64.5,2007,6,15
5.95,15.0,11.0,0.0,60.5,0.0,25.0,3.45,29.965,1.5,29.295,416.0,1929.0,80.0,92.5,67.0,67.5,2007,6,16
6.2,16.0,12.0,0.0,64.5,0.0,11.0,3.4,29.94,1.5,29.255,416.0,1929.0,81.0,91.0,70.5,70.0,2007,6,17
13.85,15.0,9.0,0.0,65.0,0.0,20.0,13.1,29.835,1.5,29.155,416.0,1929.0,80.0,89.0,71.0,70.0,2007,6,18
11.35,8.0,3.0,0.0,55.0,0.0,28.5,10.4,29.94,1.5,29.285,416.0,1930.0,73.0,80.5,65.0,63.0,2007,6,19
8.25,8.5,3.0,0.0,51.0,0.0,27.5,6.85,30.095,1.5,29.425,416.0,1930.0,73.5,84.5,61.5,61.0,2007,6,20
10.15,6.0,-1.0,0.0,51.0,0.0,2.5,3.6,30.07,1.5,29.385,416.0,1930.0,71.0,78.5,63.5,60.5,2007,6,21
8.4,4.0,-1.0,0.0,49.5,0.0,6.5,7.15,30.055,1.5,29.36,417.0,1931.0,69.0,75.5,61.5,58.0,2007,6,22
8.55,0.0,-5.0,0.0,59.0,0.0,11.5,7.45,29.955,1.5,29.255,417.0,1931.0,65.0,67.5,61.5,61.5,2007,6,23
7.0,5.0,-1.0,0.0,62.0,0.0,9.5,6.3,29.965,1.5,29.295,417.0,1931.0,70.0,76.0,64.0,65.0,2007,6,24
6.35,12.0,6.0,0.0,66.5,0.0,13.0,3.95,30.065,1.5,29.41,417.0,1931.0,77.0,87.5,66.0,70.0,2007,6,25
7.6,16.5,10.0,0.0,69.0,0.0,21.5,6.7,30.1,1.5,29.42,418.0,1931.0,81.5,91.5,71.5,72.0,2007,6,26
8.65,15.5,10.0,0.0,69.5,0.0,24.0,7.7,30.01,1.5,29.325,418.0,1931.0,80.5,90.0,71.0,72.0,2007,6,27
12.9,1.5,-5.0,0.0,55.5,0.0,2.5,12.05,30.08,1.5,29.42,419.0,1931.0,66.5,73.5,59.5,60.5,2007,6,28
8.25,0.0,-8.0,0.0,55.5,1.5,2.0,7.5,30.12,1.5,29.44,419.0,1931.0,63.5,70.5,56.0,59.5,2007,6,29
6.0,2.5,-5.0,0.0,47.5,0.0,3.5,5.0,30.12,1.5,29.435,419.0,1931.0,67.5,78.0,56.0,57.0,2007,6,30
9.15,2.0,-7.0,0.0,51.5,0.0,4.0,9.05,30.22,1.5,29.535,420.0,1931.0,67.0,75.5,57.5,58.5,2007,7,1
8.3,2.0,-6.0,0.0,50.0,0.0,13.0,6.65,30.215,1.5,29.52,420.0,1931.0,67.0,78.0,55.5,58.5,2007,7,2
7.35,7.5,0.0,0.0,56.5,0.0,21.0,6.55,30.055,1.5,29.345,421.0,1931.0,72.5,83.0,61.5,63.0,2007,7,3
8.5,11.5,5.0,0.0,65.0,0.0,26.0,3.85,29.89,1.5,29.205,422.0,1930.0,76.5,85.0,67.0,69.0,2007,7,4
7.5,14.5,8.0,0.0,60.0,0.0,32.0,5.35,29.93,1.5,29.265,422.0,1930.0,79.5,88.5,70.5,67.0,2007,7,5
5.5,11.0,4.0,0.0,57.0,0.0,6.0,3.25,30.02,1.5,29.35,423.0,1930.0,76.0,85.0,67.0,64.5,2007,7,6
8.35,12.5,5.0,0.0,62.5,0.0,22.5,7.9,29.905,1.5,29.21,423.0,1930.0,77.5,89.0,66.0,68.5,2007,7,7
12.9,19.5,12.0,0.0,67.0,0.0,23.5,12.75,29.765,1.5,29.085,424.0,1929.0,84.5,93.5,75.0,72.0,2007,7,8
8.8,17.5,9.0,0.0,66.5,0.0,23.5,4.85,29.795,1.5,29.135,425.0,1929.0,82.5,93.5,71.0,70.5,2007,7,9
10.35,14.5,6.0,0.0,67.0,0.0,23.0,8.4,29.765,1.5,29.095,425.0,1929.0,79.5,89.0,69.5,70.5,2007,7,10
11.05,5.0,-3.0,0.0,51.0,0.0,30.0,8.95,29.925,1.5,29.255,426.0,1928.0,70.0,77.0,62.5,59.0,2007,7,11
11.25,5.5,-2.0,0.0,51.0,0.0,28.5,9.7,29.925,1.5,29.25,427.0,1928.0,70.5,80.0,60.5,59.5,2007,7,12
5.55,2.5,-5.0,0.0,52.5,0.0,4.0,1.7,29.98,1.5,29.295,428.0,1927.0,67.5,76.0,58.5,58.5,2007,7,13
13.55,8.5,0.0,0.0,55.0,0.0,25.5,8.35,29.79,1.5,29.11,428.0,1927.0,73.5,84.5,61.5,62.0,2007,7,14
5.7,6.5,-3.0,0.0,52.5,0.0,19.0,1.65,29.885,1.5,29.22,429.0,1926.0,71.5,81.0,62.0,61.0,2007,7,15
5.9,9.0,0.0,0.0,60.0,0.0,23.5,5.0,29.95,1.5,29.28,430.0,1925.0,74.0,82.0,65.5,65.0,2007,7,16
6.95,11.0,2.0,0.0,65.5,0.0,23.0,5.75,29.895,1.5,29.21,431.0,1925.0,76.0,83.0,68.5,69.0,2007,7,17
10.35,12.0,3.0,0.0,68.5,0.0,24.0,9.7,29.835,1.5,29.145,432.0,1924.0,77.0,85.0,69.0,71.0,2007,7,18
13.15,8.0,-1.0,0.0,62.5,0.0,18.5,7.35,29.89,1.5,29.235,433.0,1923.0,73.0,82.5,63.0,66.0,2007,7,19
10.3,2.5,-7.0,0.0,52.5,0.0,3.5,9.95,30.13,1.5,29.465,433.0,1923.0,67.5,74.5,60.0,59.0,2007,7,20
7.4,1.5,-8.0,0.0,52.0,0.0,3.5,6.15,30.215,1.5,29.54,434.0,1922.0,66.5,74.5,58.0,58.5,2007,7,21
3.4,5.5,-4.0,0.0,54.5,0.0,17.0,1.8,30.205,1.5,29.515,435.0,1921.0,70.5,81.0,59.5,61.0,2007,7,22
3.95,7.5,-2.0,0.0,55.0,0.0,10.5,3.05,30.095,1.5,29.395,436.0,1920.0,72.5,82.5,61.5,63.0,2007,7,23
5.05,9.0,0.0,0.0,57.5,0.0,20.5,2.1,30.035,1.5,29.35,437.0,1919.0,74.0,82.0,65.0,64.0,2007,7,24
6.8,12.5,4.0,0.0,60.5,0.0,24.0,6.1,29.995,1.5,29.32,438.0,1918.0,77.5,84.0,70.5,66.5,2007,7,25
9.65,9.5,1.0,0.0,65.0,0.0,22.0,7.2,29.915,1.5,29.22,439.0,1918.0,74.5,83.5,65.0,68.0,2007,7,26
8.0,12.0,3.0,0.0,67.5,0.0,19.5,2.1,29.81,1.5,29.135,440.0,1917.0,77.0,83.0,70.0,70.0,2007,7,27
10.45,9.0,-1.0,0.0,65.0,0.0,3.0,10.3,29.92,1.5,29.255,441.0,1916.0,74.0,80.0,68.0,68.0,2007,7,28
6.3,10.0,0.0,0.0,56.5,0.0,5.0,5.55,29.98,1.5,29.31,442.0,1915.0,75.0,85.0,65.0,64.0,2007,7,29
4.45,11.0,2.0,0.0,56.0,0.0,6.0,3.45,30.02,1.5,29.36,443.0,1914.0,76.0,87.5,63.5,64.5,2007,7,30
4.95,14.5,6.0,0.0,60.5,0.0,5.5,3.65,30.03,1.5,29.36,444.0,1913.0,79.5,90.0,68.5,68.0,2007,7,31
3.9,15.5,8.0,0.0,62.5,0.0,11.0,2.8,29.99,1.5,29.315,445.0,1911.0,80.5,91.5,69.0,69.5,2007,8,1
6.55,16.5,8.0,0.0,66.0,0.0,24.5,6.0,29.96,1.5,29.285,446.0,1910.0,81.5,91.0,71.5,71.5,2007,8,2
5.75,15.5,7.0,0.0,57.0,0.0,4.5,3.0,30.01,1.5,29.335,447.0,1909.0,80.5,89.0,71.0,66.5,2007,8,3
6.35,9.0,0.0,0.0,58.0,0.0,8.5,5.8,30.02,1.5,29.335,448.0,1908.0,74.0,81.0,66.0,64.5,2007,8,4
9.9,13.0,5.0,0.0,71.0,0.0,21.5,6.2,29.8,1.5,29.115,449.0,1907.0,78.0,88.0,67.5,72.5,2007,8,5
4.75,15.5,8.0,0.0,72.0,0.0,10.0,2.1,29.82,1.5,29.15,450.0,1906.0,80.5,86.5,74.5,74.0,2007,8,6
8.9,17.5,9.0,0.0,73.0,0.0,24.5,6.25,29.75,1.5,29.085,451.0,1904.0,82.5,91.5,72.5,76.0,2007,8,7
6.65,15.5,7.0,0.0,71.5,0.0,3.5,2.25,29.82,1.5,29.155,452.0,1903.0,80.5,87.0,73.5,73.5,2007,8,8
6.15,13.5,5.0,0.0,71.0,0.0,28.0,2.8,29.83,1.5,29.16,453.0,1902.0,78.5,84.5,72.5,73.0,2007,8,9
5.65,14.0,5.0,0.0,68.5,0.0,4.0,3.75,29.95,1.5,29.29,454.0,1900.0,79.0,86.0,71.5,72.0,2007,8,10
3.9,13.0,5.0,0.0,65.0,0.0,19.5,3.15,30.01,1.5,29.345,455.0,1859.0,78.0,88.5,67.5,70.0,2007,8,11
6.0,13.0,5.0,0.0,67.0,0.0,6.0,1.8,30.05,1.5,29.37,456.0,1858.0,78.0,87.5,67.5,70.5,2007,8,12
7.3,9.0,0.0,0.0,55.5,0.0,7.0,6.55,30.095,1.5,29.415,457.0,1856.0,74.0,80.5,67.0,63.5,2007,8,13
8.5,10.0,3.0,0.0,66.5,0.0,24.0,6.15,29.925,1.5,29.26,458.0,1855.0,75.0,84.0,65.0,69.5,2007,8,14
6.45,11.5,4.0,0.0,68.0,0.0,6.5,4.15,29.88,1.5,29.2,459.0,1854.0,76.5,80.5,71.5,70.5,2007,8,15
5.7,6.5,-1.0,0.0,64.5,0.0,1.0,3.55,29.96,1.5,29.305,500.0,1852.0,71.5,77.0,66.0,67.5,2007,8,16
7.1,6.5,-2.0,0.0,54.0,0.0,31.5,6.0,30.09,1.5,29.435,501.0,1851.0,71.5,79.5,62.5,61.5,2007,8,17
